l,t
1000,10.170676946640015
2000,20.26163125038147
3000,30.29189658164978
4000,40.26822066307068
5000,50.374722957611084
6000,60.305248498916626
7000,70.39865016937256
8000,80.45905995368958
9000,90.62679743766785
10000,100.82492446899414
11000,110.87428021430969
12000,120.85589265823364
13000,130.8610246181488
14000,141.18233847618103
15000,151.27427554130554
16000,161.47464227676392
17000,171.59872245788574
18000,181.74546885490417
19000,192.04778814315796
20000,202.22288012504578
21000,305.0995032787323
22000,407.6737813949585
23000,509.9093415737152
24000,612.2328107357025
25000,715.185964345932
26000,817.6850957870483
27000,920.519407749176
28000,1023.453136920929
29000,1126.539113998413
